ID,dataset,SEXISM,text,gpt-4o-mini,gpt-4-0125-preview,gpt-3.5-turbo-0125,gemini-1.5-flash
1,Ethos_Dataset_Multi_Label,1,You should know women's sports are a joke,1.0,,,
2,Ethos_Dataset_Multi_Label,0,You look like Sloth with deeper Down’s syndrome,1.0,,,
3,Ethos_Dataset_Multi_Label,0,You look like Russian and speak like Indian. Both are disgusting go kill yourself,1.0,,,
4,Ethos_Dataset_Multi_Label,1,"Women deserve to be abused, I guess.",1.0,,,
5,Ethos_Dataset_Multi_Label,1,Women are made for making babies and cooking dinner and nothing else!!!,1.0,,,
6,Ethos_Dataset_Multi_Label,0,why haven't you faggots taken the bi-pill yet,1.0,,,
7,Ethos_Dataset_Multi_Label,0,Why don’t you go beck your god to murder you? Christianity is a joke,0.0,,,
8,Ethos_Dataset_Multi_Label,0,why does that african american monkey hold gun like that?,1.0,,,
9,Ethos_Dataset_Multi_Label,0,Why does Bulgaria exist as a country? It's one of those homosexual ones.,1.0,,,
10,Ethos_Dataset_Multi_Label,0,Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.,1.0,,,
11,Ethos_Dataset_Multi_Label,0,who gives aa fuck about shit diamonds from the jews fuck them both,1.0,,,
12,Ethos_Dataset_Multi_Label,0,Who do you think you are cunt? wtf! Stay steady to aim for head little christian rat,,,,
13,Ethos_Dataset_Multi_Label,0,white people are shit human beings,,,,
14,Ethos_Dataset_Multi_Label,0,what happened in the good old days when these freaks did not exist ? which sewer have these freaks dragged themselves out of ? its just a manufactured group of freaks who want to cut their cocks off and take it up the arse in the hope that the world will treat them as woman . it takes more than that to be a woman . stop pandering to these twats .,,,,
15,Ethos_Dataset_Multi_Label,1,What about a global massacre of men? Pussiezzz only girls,,,,
16,Ethos_Dataset_Multi_Label,0,what a disgusting man and disgusting religion. He admits that muslim buy all their wifes ! .pff...This is why all muslims are poor...islam keeps them stupid !,,,,
17,Ethos_Dataset_Multi_Label,0,well it's clear now why europeans can't differ niggers and shitskins from human,,,,
18,Ethos_Dataset_Multi_Label,0,"Well im glad that i live in Serbia, migrants and islamists are not welcome here!",,,,
19,Ethos_Dataset_Multi_Label,0,"Well done Slovakia and god bless. DO NOT build mosques, or allow or recognise Islam. They will get the point that EUROPE don't want Muslims here.",,,,
20,Ethos_Dataset_Multi_Label,0,"We whites have higher IQ's than blacks, this is because IQ measures intelligence and we are the more evolved and superior race with a larger brain. ",,,,
21,Ethos_Dataset_Multi_Label,0,"we take everyone, sudanese niggers, egyptian shitskins, palirats, syrian and iraqi scums, they're all dogs that behave like niggers, they cost too much, especially syrians, there is way too many of them here, they are arrogant ungrateful backstabbing apes.",,,,
